epoch,training_loss,validation_loss,training_acc,validation_acc
0,1766.389840245247,151.69028079509735,0.20878,0.2904
1,1378.3684760332108,127.25906372070312,0.34804,0.4152
2,1224.766857624054,119.45622837543488,0.42396,0.4484
3,1141.6918548345566,112.63636267185211,0.46632,0.478
4,1081.48556381464,113.83143389225006,0.4985,0.4782
5,1029.8925932645798,104.55474472045898,0.5236,0.528
6,983.6219573616982,102.35372221469879,0.54618,0.5246
7,942.1656748056412,102.0644896030426,0.56932,0.54
8,894.3412792682648,101.36945909261703,0.59112,0.5542
9,857.125035405159,96.56372261047363,0.60808,0.5734
10,816.8063433766365,98.40800929069519,0.62886,0.5622
11,778.8459843993187,95.14825385808945,0.6472,0.5714
12,744.0024058818817,96.14882415533066,0.66262,0.583
13,715.9551013112068,98.80085372924805,0.67596,0.5682
14,680.7078713476658,101.11820739507675,0.69246,0.5738
15,652.4332942664623,99.9767056107521,0.7048,0.587
16,621.7209751605988,102.33080345392227,0.7153,0.5838
17,595.0265086889267,104.00821423530579,0.73022,0.5832
18,571.0579768121243,102.54834300279617,0.73846,0.5842
19,543.0081657767296,107.86336743831635,0.75344,0.572
20,520.3951000571251,111.56837904453278,0.76324,0.574
21,497.566099435091,113.46604067087173,0.77212,0.5838
22,478.83541744947433,113.05190306901932,0.78242,0.578
23,459.53454089164734,116.87117028236389,0.78858,0.5778
24,441.3803562670946,125.32486575841904,0.79694,0.5746
25,414.0040627270937,124.90195107460022,0.81108,0.569
26,400.88278217613697,125.45901161432266,0.81686,0.571
27,383.6394853144884,125.29793554544449,0.82488,0.568
28,374.47581984102726,127.43719780445099,0.82726,0.5736
29,358.95455522835255,131.16015607118607,0.83422,0.5572
30,342.88818964362144,132.94508147239685,0.84258,0.581
31,326.18890284746885,138.88835096359253,0.8498,0.5656
32,315.2501928061247,140.08847272396088,0.8552,0.5766
33,307.2466696500778,143.72020018100739,0.85922,0.5776
34,298.5108259022236,146.678801715374,0.86204,0.5724
35,281.15372855216265,147.39823460578918,0.87112,0.5648
36,275.62931887060404,150.72628271579742,0.87374,0.5646
37,265.9150507375598,149.52010241150856,0.8769,0.5752
38,260.6872335076332,155.14063823223114,0.8788,0.5688
39,248.59226748347282,159.125807762146,0.887,0.5716
40,237.9029448106885,158.40091383457184,0.89176,0.5808
41,240.14875257015228,165.45343101024628,0.89018,0.5586
42,235.39694971591234,159.5722838640213,0.89158,0.5622
43,218.11670323088765,168.04337358474731,0.90136,0.5672
44,221.79967100173235,165.99040174484253,0.89734,0.5682
45,214.06547178328037,169.18521744012833,0.90138,0.566
46,207.54425436258316,175.56798446178436,0.90392,0.5606
47,207.35665495693684,163.33371019363403,0.90396,0.5738
48,196.2375998236239,170.6358733177185,0.91052,0.5702
49,194.51553435996175,177.1799682378769,0.91064,0.5692
50,184.22947710379958,187.7997968196869,0.91478,0.5562
51,189.62959901988506,187.98894429206848,0.91244,0.5666
52,189.54088785871863,178.61605834960938,0.9127,0.5676
53,182.52186816558242,182.97756469249725,0.9157,0.5626
54,182.0073292478919,173.7398061454296,0.91664,0.5712
55,172.29055430740118,177.89259910583496,0.92026,0.5656
56,169.30231589637697,173.885111451149,0.92318,0.5626
57,172.49768263474107,183.20817512273788,0.92156,0.5742
58,166.69335605204105,184.1395162343979,0.9244,0.5714
59,165.9533508643508,176.46883606910706,0.92516,0.5636
60,155.16925862431526,187.80554449558258,0.92956,0.5614
61,157.57947179675102,190.135697722435,0.92806,0.5706
62,159.8305360302329,185.4807813167572,0.92614,0.5666
63,154.4493997618556,187.3665896654129,0.92856,0.5688
64,148.8635409474373,195.1752268075943,0.93324,0.5694
65,150.6049009077251,188.49820363521576,0.9316,0.571
66,143.91348212584853,193.07675635814667,0.93532,0.5776
67,142.55568697303534,188.23776376247406,0.9354,0.5714
68,146.04351674765348,193.41061341762543,0.933,0.5718
69,141.86500017158687,196.94834101200104,0.93572,0.5584
70,143.47981764748693,203.22381341457367,0.9347,0.5694
71,136.94290489703417,195.90023946762085,0.93816,0.5648
72,139.69877895340323,193.89355170726776,0.93656,0.5784
73,137.4403723422438,194.32161903381348,0.93804,0.5682
74,131.85965695232153,189.36442971229553,0.93914,0.576
75,133.19312111660838,200.06511771678925,0.93856,0.5738
76,129.9905560091138,198.34241998195648,0.94178,0.5692
77,132.23856173735112,196.9391406774521,0.93972,0.5718
78,123.20827001705766,203.05871450901031,0.9432,0.5744
79,121.44094666838646,210.57826042175293,0.94582,0.5736
80,127.32662445306778,203.40056121349335,0.9431,0.5812
81,129.6530256215483,194.74601673334837,0.94114,0.5762
82,121.44557486847043,194.10425794124603,0.94424,0.5714
83,132.79417025111616,193.98723530769348,0.94022,0.5722
84,118.09859759174287,199.75714325904846,0.94686,0.5794
85,118.15605236776173,201.14507293701172,0.94654,0.5718
86,122.26687821745872,204.82095408439636,0.945,0.5728
87,115.88704103417695,205.1336568593979,0.947,0.5712
88,116.9564261790365,207.38828873634338,0.9483,0.5706
89,119.11296599637717,211.61377716064453,0.94728,0.563
90,111.82606274913996,196.36978614330292,0.94956,0.565
91,113.85008065402508,210.6453686952591,0.94784,0.57
92,115.5509331645444,203.76398479938507,0.94714,0.5734
93,116.65098093263805,202.5262360572815,0.94778,0.5658
94,111.01819732040167,205.21926522254944,0.94904,0.574
95,106.38671170920134,217.95959281921387,0.9523,0.567
96,108.8410915127024,206.06249105930328,0.94952,0.5718
97,114.30221102293581,206.847554564476,0.94878,0.5724
98,104.86739248689264,204.41458785533905,0.95256,0.5704
99,109.15296229347587,204.25335216522217,0.9515,0.573
