epoch,training_loss,validation_loss,training_acc,validation_acc
0,886.2789585888386,30.50516078993678,0.9111333333333334,0.9588
1,432.9241441653576,17.89161949767731,0.9434333333333333,0.9636
2,165.7206655528862,11.16948846145533,0.9716333333333333,0.9784
3,125.86701594019542,11.576896478654817,0.9787333333333333,0.9776
4,99.46037572681962,9.324047320347745,0.9831666666666666,0.9828
5,83.41318976439652,8.159010349249002,0.9866666666666667,0.9846
6,69.29369096781011,7.144746943027712,0.9882666666666666,0.9868
7,58.98899696615263,8.226771981757338,0.9899166666666667,0.984
8,50.31429949550875,8.268853297267924,0.9918166666666667,0.9838
9,42.11326610660035,7.747164111613529,0.9928833333333333,0.9848
10,37.60532472855448,7.530969565705163,0.9934333333333333,0.9858
11,31.540826949591974,6.882471929699022,0.9946666666666667,0.9866
12,26.468691360270896,7.005018396954256,0.99575,0.9874
13,22.266371772278035,8.914628978944165,0.9966166666666667,0.9832
14,18.501891690876164,7.0986965223710285,0.9972666666666666,0.9874
15,14.808484436131494,6.607016909631966,0.9979666666666667,0.987
16,13.151091543832308,7.350695982579964,0.99835,0.9872
17,10.743975625487792,8.237349457145228,0.9986333333333334,0.986
18,8.850864894311826,9.609158024781209,0.999,0.9834
19,6.995724389727684,6.930254913219642,0.9994333333333333,0.9874
20,5.655874076178861,6.9686840085473705,0.9995,0.987
21,4.167302053533945,7.212019748252715,0.9997666666666667,0.9874
22,3.9436966195939362,7.2286790314651626,0.9997333333333334,0.987
23,3.1667709420037795,7.365710595405062,0.99995,0.9864
24,2.7878577526310835,7.303998031567289,0.9999166666666667,0.9878
25,2.4946652316373275,7.2578418069406325,0.9998833333333333,0.9878
26,2.1475300265977353,7.408581995867962,0.9999333333333333,0.9874
27,1.8604971232276455,7.5231978974456695,0.9999833333333333,0.9874
28,1.6710493890498128,7.556473398435358,0.99995,0.9882
29,1.4868563591146966,7.633677094169855,0.9999833333333333,0.9868
30,1.3442637308205576,7.749971928547154,0.9999833333333333,0.9884
31,1.2572071885293212,7.827377640899044,1.0,0.9878
32,1.1466959206685843,7.769097674782415,1.0,0.9882
33,1.0514579827840578,8.142190559883403,1.0,0.988
34,0.9892690551208005,8.007114022749786,1.0,0.9878
35,0.9323777399154238,7.918847145128211,1.0,0.9882
36,0.8909268432013278,8.100869537613889,1.0,0.9878
37,0.8341169191428435,9.215310631404236,1.0,0.9878
38,0.7856650805595535,8.176825632348283,1.0,0.9886
39,0.749608862661681,8.234588759191745,1.0,0.988
40,0.7225931293559569,8.159835681824461,1.0,0.988
41,0.6897722924877705,8.193878111173916,1.0,0.9884
42,0.6621933285765635,8.149575990597185,1.0,0.9886
43,0.6318761758719358,8.19845133399361,1.0,0.988
44,0.6018063138302239,8.299694834433225,1.0,0.9886
45,0.5810335820424477,8.378343954357433,1.0,0.988
46,0.5635431286195569,8.270832886364257,1.0,0.9882
47,0.5391622605565658,8.374893849602316,1.0,0.9884
48,0.526369052048608,8.400233765126757,1.0,0.988
49,0.509625017089177,8.371684560010053,1.0,0.9884
50,0.4898460450493278,8.469559044316107,1.0,0.9884
51,0.4714916855571438,8.493624710070648,1.0,0.9882
52,0.4578525668122868,8.516332007064399,1.0,0.9882
53,0.4464400938984303,8.561683948721708,1.0,0.9882
54,0.43282561358109106,8.575239622745926,1.0,0.9884
55,0.42043344506240987,8.610910637672028,1.0,0.9882
56,0.407419127353263,8.606498336890922,1.0,0.9882
57,0.3951154656717355,8.63466054373584,1.0,0.9886
58,0.3856320562719835,8.648569505455328,1.0,0.9882
59,0.3747018155091606,8.741293186193047,1.0,0.9878
60,0.36507173772968926,8.693459337391516,1.0,0.9886
61,0.355969043508523,8.754776828808758,1.0,0.9882
62,0.34483435283293407,8.756538322972643,1.0,0.9884
63,0.336843068787096,8.798053141939512,1.0,0.9884
64,0.331104778982662,8.772240612121209,1.0,0.9884
65,0.32205036001239895,8.830816424616131,1.0,0.9884
66,0.314505345560562,8.843651158397506,1.0,0.9884
67,0.3082229231195597,8.854404385630598,1.0,0.9882
68,0.300829329186479,9.48178475625497,1.0,0.9884
69,0.2933654702503441,8.889158894451981,1.0,0.9882
70,0.28968696816727935,8.958592795339413,1.0,0.9884
71,0.28252889706897344,8.938212287310183,1.0,0.9884
72,0.2766045155534931,8.904304981363325,1.0,0.9882
73,0.2722896454219912,8.99247664727394,1.0,0.9884
74,0.2649990915682505,8.97408801203514,1.0,0.9884
75,0.26010314339460905,8.975914178133255,1.0,0.9886
76,0.25223568323517576,9.138808778753734,1.0,0.9882
77,0.2502876014092612,9.034048027217871,1.0,0.9884
78,0.2454174646405467,9.090031089086178,1.0,0.9882
79,0.2413317068086529,9.050768015840344,1.0,0.9884
80,0.23653624720655175,9.131653779455263,1.0,0.9884
81,0.23268395987170898,9.16947292637365,1.0,0.9882
82,0.22796845061371762,9.17792989938969,1.0,0.9886
83,0.22535667888816935,9.14678404643583,1.0,0.9884
84,0.2203696756858089,9.146138440211132,1.0,0.9886
85,0.2166367548134216,9.20372462019995,1.0,0.9882
86,0.21224509741908082,9.227269375543965,1.0,0.988
